Item Number,Partnumber,Manufacturer P/N,Manufacturer Name,Manufacturer Family,Part Type,Description,Comment,Value (Numeric),Value (Text),Quantity,Unit of Measure,Manufactured here,RoHS Status,Build Sequence,Revision Name,Revision Status,Revision Reason,Preferred Vendor,Standard Cost,Standard Cost Currency,Standard Lead Time,Standard Cost Minimum,Standard Cost Multiple,Standard Cost Comment
76,C-0630,C0603C103J5RACTU,Kemet,,Capacitor,CAP MLCC .01 uF 50V 0603 X7R 5%,"",1.0e-08,0.01u,1,each,false,true,"",A,Active,Initial Revision,"",0.014,USD,,,,
77,C-0673,CL10B106MQ8NRNC,Samsung,,Capacitor,CAP MLCC 10uF 6.3V  X7R 0603 20%,"",1.0e-05,10u,31,each,false,true,"",A,Active,Initial Revision,"",0.36,USD,,,,
78,C-0597,C1206C106K3RACTU,Kemet,,Capacitor,MLCC 1206 10uF 25V X7R 10%,"",1.0e-05,10u,21,each,true,true,"",A,Active,Initial Revision,"",0.263,USD,,1000,,""
79,C-0603,C0603C153J3GACTU,Kemet,,Capacitor,MLCC 0603 15nF 25V C0G 5%,"","","",1,each,true,true,"",A,Active,Initial Revision,"",,USD,,,,
80,C-0653,C0402C220J3GACTU,Kemet,,Capacitor,CAP MLCC 22pF 25V  C0G 0402 5%,"",2.2e-11,22p,7,each,false,true,"",A,Active,Initial Revision,"",0.02,USD,,,,
81,C-0898,C2012X5R1V226M125AC,TDK,,Capacitor,CAP CER 22UF 35V X5R 0805,"",2.2e-05,22u,7,each,false,true,"",A,Active,"","",0.342,USD,,,,
82,C-0689,C0402C270K5GACTU,Kemet,,Capacitor,CAP MLCC 27pF 50V  C0G 0402 10%,"",2.7e-11,27p,2,each,false,true,"",A,Active,Initial Revision,"",0.009,USD,,,,
83,C-0595,C0603C563K3RACTU,Kemet,,Capacitor,CAP CER 0.056UF 25V X7R 0603,"","","",8,each,false,true,"",A,Active,Added as equivalent to C-0538 per ECO-10088,Digi-Key Corporation,0.0528,USD,,,,
84,C-0782,C0805C560G1GACTU,Kemet,,Capacitor,CAP MLCC 56pF 100V  C0G 0805 2%,"",5.6e-11,56p,1,each,false,true,"",A,Active,Initial Revision,"",0.378,USD,,,,
85,C-0745,C0402C101K3RACTU,Kemet,,Capacitor,CAP MLCC 100pF 25V  X7R 0402 10%,"",1.0e-10,100p,1,each,false,true,"",A,Active,Initial Revision,"",0.079,USD,,,,
